hscode,statcode,classifyCnnm,hsname,ciqname
8703213010,8703213010999,轿车,仅装有排量≤1升的点燃往复式活塞内燃发动机的小轿车,仅装有排量≤1升的点燃往复式活塞内燃发动机的小轿车
8703213090,8703213090999,车辆成套散件,排气量≤1升的装有点燃往复式活塞内燃发动机小轿车的成套散件,仅装有排量≤1升的点燃往复式活塞内燃发动机小轿车的成套散件
8703214010,8703214010999,越野车,仅装有排量≤1升的点燃往复式活塞内燃发动机的越野车(4轮驱动),仅装有排量≤1升的点燃往复式活塞内燃发动机的越野车(4轮驱动)
8703214090,8703214090999,车辆成套散件,排量≤1升的带点燃往复式活塞内燃发动机的越野车(4轮驱动)的成套散件,仅装有排量≤1升的点燃往复式活塞内燃发动机的越野车(4轮驱动)的成套散件
8703215010,8703215010999,客车,仅装有排量≤1升的点燃往复式活塞内燃发动机的小客车(9座及以下),仅装有排量≤1升的点燃往复式活塞内燃发动机的小客车(9座及以下)
8703215090,8703215090999,车辆成套散件,排量≤1升的带点燃往复式活塞内燃发动机的小客车的成套散件(9座及以下),仅装有排量≤1升的点燃往复式活塞内燃发动机的小客车的成套散件(9座及以下)
8703219010,8703219010999,其他汽车,仅装有排量≤1升的点燃往复式活塞内燃发动机的其他载人车辆,仅装有排量≤1升的点燃往复式活塞内燃发动机的其他载人车辆
8703219090,8703219090999,车辆成套散件,排量≤1升的带点燃往复式活塞内燃发动机的其他车辆的成套散件,仅装有排量≤1升的点燃往复式活塞内燃发动机的其他载人车辆的成套散件
8703223010,8703223010999,轿车,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机小轿车,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机小轿车
8703223090,8703223090999,车辆成套散件,1＜排量≤1.5升带点燃往复式活塞内燃发动机小轿车的成套散件,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机小轿车的成套散件
8703224010,8703224010999,越野车,仅装有1＜排量≤1.5升点燃往复活塞内燃发动机四轮驱动越野车,仅装有1＜排量≤1.5升点燃往复活塞内燃发动机四轮驱动越野车
8703224090,8703224090999,车辆成套散件,1＜排量≤1.5升带点燃往复活塞内燃发动机四轮驱动越野车的成套散件,仅装有1＜排量≤1.5升点燃往复活塞内燃发动机四轮驱动越野车的成套散件
8703225010,8703225010999,客车,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机小客车(≤9座),仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机小客车(≤9座)
8703225090,8703225090999,车辆成套散件,1＜排量≤1.5升带点燃往复式活塞内燃发动机小客车的成套散件(≤9座),仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机小客车的成套散件(≤9座)
8703229010,8703229010999,其他汽车,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机其他载人车辆,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机其他载人车辆
8703229090,8703229090999,车辆成套散件,1＜排量≤1.5升带点燃往复式活塞内燃发动机其他车的成套散件,仅装有1＜排量≤1.5升点燃往复式活塞内燃发动机其他载人车的成套散件
8703234110,8703234110999,轿车,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机小轿车,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机小轿车
8703234190,8703234190999,车辆成套散件,1.5＜排量≤2升装点燃往复式活塞内燃发动机小轿车的成套散件,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机小轿车的成套散件
8703234210,8703234210999,越野车,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机越野车(4轮驱动),仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机越野车(4轮驱动)
8703234290,8703234290999,车辆成套散件,1.5＜排量≤2升装点燃往复式活塞内燃发动机越野车的成套散件(4轮驱动),仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机越野车的成套散件(4轮驱动)
8703234310,8703234310999,客车,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机小客车(9座及以下的),仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机小客车(9座及以下的)
8703234390,8703234390999,车辆成套散件,1.5＜排量≤2升装点燃往复式活塞内燃发动机小客车的成套散件(9座及以下的),仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机小客车的成套散件(9座及以下的)
8703234910,8703234910999,其他汽车,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机的其他载人车辆,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机的其他载人车辆
8703234990,8703234990999,车辆成套散件,1.5＜排量≤2升装点燃往复式活塞内燃发动机的其他载人车辆的成套散件,仅装有1.5＜排量≤2升的点燃往复式活塞内燃发动机的其他载人车辆的成套散件
